DIRECTORIO;P6040;P404;P3503;P3271;P400;FEX_C
7981549;12;2;2;2;3;22.262.628.684
7981549;10;2;2;2;3;22.262.628.684
7981550;11;2;2;2;3;26.186.643.482
7981550;8;2;2;2;3;26.186.643.482
7981550;12;2;2;2;3;26.186.643.482
7981554;17;1;2;2;4;63.093.371.092
7981555;11;;2;2;5;76.582.966.398
7981557;15;2;2;1;3;68.051.508.192
7981557;15;2;2;2;3;68.051.508.192
7981557;10;2;2;1;3;68.051.508.192
7981560;9;2;2;1;3;79.051.063.062
7981560;5;2;2;1;3;79.051.063.062
7981564;12;2;2;2;3;80.130.358.262
7981564;10;2;2;1;3;80.130.358.262
7981564;6;2;2;1;3;80.130.358.262
7981568;11;2;2;1;3;72.242.629.948
7981570;14;2;2;1;3;28.111.517.693
7981583;16;2;2;1;4;32.275.700.475
7981589;11;2;2;1;3;17.413.125.661
7981590;14;2;2;2;3;22.865.644.567
7981593;15;2;2;2;4;18.854.925.512
7981596;12;2;2;1;3;18.698.784.717
7981597;8;2;2;2;3;2.196.307.689
7981598;17;2;2;2;3;19.291.636.159
7981599;8;2;2;1;3;2.368.708.342
7981600;17;2;2;2;4;10.486.541.277
7981603;10;2;2;2;3;88.269.266.996
7981604;7;2;2;2;3;23.424.797.371
7981608;7;2;2;1;3;12.527.399.204
7981608;6;2;2;1;3;12.527.399.204
7981609;8;2;2;2;3;14.400.084.028
7981610;14;2;2;2;4;19.989.941.326
7981610;12;2;2;2;3;19.989.941.326
7981612;9;2;2;1;3;10.677.162.952
7981612;5;2;2;2;3;10.677.162.952
7981625;17;2;2;2;4;29.819.210.564
7981625;13;2;2;2;3;29.819.210.564
7981625;12;2;2;2;3;29.819.210.564
7981625;10;2;2;1;3;29.819.210.564
7981625;8;2;2;2;3;29.819.210.564
7981625;6;2;2;2;3;29.819.210.564
7981626;5;2;2;2;3;23.500.702.586
7981627;7;2;2;1;3;28.392.853.065
7981627;5;2;2;1;6;28.392.853.065
7981628;7;2;2;2;3;27.196.899.945
7981628;6;2;2;1;3;27.196.899.945
7981629;7;2;2;1;3;29.819.210.564
7981629;13;2;2;2;3;29.819.210.564
7981629;11;2;2;2;3;29.819.210.564
7981629;10;2;2;2;3;29.819.210.564
7981630;15;2;2;2;3;26.896.724.801
7981630;12;2;2;2;3;26.896.724.801
7981630;10;2;2;1;3;26.896.724.801
7981630;8;2;2;1;3;26.896.724.801
7981632;8;2;2;2;3;27.467.553.257
7981632;6;2;2;1;3;27.467.553.257
7981632;5;2;2;2;3;27.467.553.257
7981637;12;2;2;2;3;29.819.210.564
7981637;10;2;2;2;3;29.819.210.564
7981637;8;2;2;1;3;29.819.210.564
7981637;6;2;2;1;3;29.819.210.564
7981637;5;2;2;2;6;29.819.210.564
7981638;16;2;2;2;3;11.552.501.835
7981638;5;2;2;1;3;11.552.501.835
7981640;11;2;2;2;3;78.854.891.708
7981644;13;2;2;2;3;29.819.210.564
7981644;10;2;2;1;3;29.819.210.564
7981644;8;1;2;1;3;29.819.210.564
7981644;6;2;2;1;3;29.819.210.564
7981645;12;2;2;2;3;11.150.047.574
7981650;15;2;2;2;3;76.703.651.617
7981650;5;2;2;1;3;76.703.651.617
7981652;15;2;2;1;3;64.615.791.977
7981652;13;2;2;1;3;64.615.791.977
7981654;16;2;2;2;3;55.581.960.999
7981660;15;2;2;2;3;56.581.308.406
7981660;8;2;2;2;3;56.581.308.406
7981661;6;2;2;2;3;26.648.720.933
7981678;16;2;2;2;3;65.212.897.118
7981683;7;2;2;2;3;86.461.150.529
7981687;13;2;2;1;3;84.208.856.301
7981688;10;2;2;2;3;10.345.027.703
7981690;16;2;2;2;3;95.851.909.395
7981693;15;2;2;2;3;12.060.171.576
7981694;14;2;2;1;3;61.593.203.376
7981695;14;2;2;1;3;5.247.962.753
7981698;12;2;2;1;3;19.899.286.242
7981703;16;2;2;2;3;17.267.385.568
7981703;16;2;2;2;3;17.267.385.568
7981709;14;2;2;1;3;13.734.357.608
7981715;12;2;2;2;3;5.679.237.937
7981715;7;2;2;1;3;5.679.237.937
7981715;16;2;2;1;3;5.679.237.937
7981716;17;2;2;1;3;44.709.867.902
7981719;16;2;2;2;3;54.301.258.205
7981719;9;2;2;1;3;54.301.258.205
7981724;14;2;2;2;3;17.903.125.464
7981730;15;2;2;1;3;60.543.683.362
7981731;16;2;2;1;3;49.653.585.138
7981732;12;2;2;1;3;68.609.145.948
7981732;9;2;2;2;3;68.609.145.948
7981733;13;2;2;2;3;61.338.261.311
7981733;10;2;2;2;3;61.338.261.311
7981735;6;2;2;1;3;45.251.048.504
7981735;17;;2;2;5;45.251.048.504
7981741;14;2;2;2;3;45.422.192.331
7981741;12;2;2;1;3;45.422.192.331
7981745;11;2;2;2;3;52.218.607.329
7981753;9;2;2;2;3;31.104.950.123
7981754;12;2;2;2;3;42.297.071.936
7981758;9;2;2;2;3;60.974.931.708
7981758;16;2;2;2;3;60.974.931.708
7981759;8;2;2;1;3;76.940.481.089
7981767;8;2;2;2;3;42.297.071.936
7981768;5;2;2;1;3;45.739.430.632
7981769;12;2;2;2;3;37.752.534.289
7981775;13;2;2;2;3;38.074.170.891
7981778;10;2;2;2;3;46.078.034.779
7981779;11;2;2;2;3;42.724.315.087
7981782;9;2;2;1;3;37.827.623.981
7981783;9;2;2;2;6;98.290.058.289
7981788;5;2;2;2;3;54.481.681.981
7981790;8;2;2;2;3;47.702.271.849
7981793;15;2;2;1;3;26.297.548.362
7981802;6;2;2;2;3;37.597.397.277
7981803;9;2;2;2;3;28.427.523.094
7981805;17;2;2;2;3;28.372.252.827
7981806;6;2;2;2;3;40.081.338.836
7981810;15;2;2;2;3;15.957.076.056
7981810;15;2;2;2;3;15.957.076.056
7981820;13;2;2;1;3;66.541.156.496
7981820;7;2;2;2;3;66.541.156.496
7981821;15;2;2;1;3;33.610.735.473
7981823;17;2;2;1;3;47.592.713.614
7981823;12;2;2;2;3;47.592.713.614
7981826;17;2;2;1;3;28.354.566.145
7981846;17;2;2;2;3;27.004.881.351
7981849;11;2;2;1;3;2.962.636.557
7981851;12;2;2;1;3;24.088.491.585
7981859;16;2;2;1;3;35.674.670.347
7981863;15;2;2;2;3;2.623.551.036
7981863;14;2;2;1;3;2.623.551.036
7981880;7;2;2;2;3;38.398.362.316
7981882;15;2;2;1;3;32.136.472.025
7981882;11;2;2;1;3;32.136.472.025
7981887;6;2;2;2;3;57.500.998.509
7981897;5;2;2;2;3;37.597.397.277
7981899;6;2;2;1;3;37.663.476.206
7981900;11;2;2;2;3;36.889.843.096
7981904;10;2;2;1;3;55.481.484.907
7981904;6;2;2;1;3;55.481.484.907
7981904;6;2;2;1;3;55.481.484.907
7981908;15;2;2;1;3;26.368.354.838
7981908;10;2;2;2;3;26.368.354.838
7981913;10;2;2;2;3;37.549.170.528
7981917;8;2;2;1;3;31.483.006.737
7981918;12;2;2;2;3;25.814.161.234
