DIRECTORIO;P6040;P404;P3503;P3271;P400;FEX_C
8025117;9;2.0;2;2;3;80069470209
8027653;10;2.0;2;2;3;14724522628
8043310;16;2.0;2;1;3;22244635315
8002606;7;2.0;2;1;3;25259740082
7990809;7;2.0;2;2;3;18570036816
8031873;17;2.0;2;2;3;63579241084
8083756;12;2.0;2;1;3;21130508561
8083030;12;2.0;2;2;3;77196785708
7982966;7;2.0;2;2;3;38131433092
8046811;9;2.0;2;1;3;10001451746
7985398;6;2.0;2;1;3;38270486345
8044793;15;2.0;2;2;3;12867998825
8043090;8;2.0;2;2;3;25918833014
8042791;7;2.0;2;2;3;68725800486
8000190;10;2.0;2;2;3;14682472546
8008015;13;2.0;2;2;3;21165239264
8084303;7;2.0;2;2;3;64234282279
8049752;12;2.0;2;1;3;3722458369
8010200;5;2.0;2;2;3;82102640665
8021242;17;2.0;2;1;3;10805605469
8081934;13;2.0;2;1;3;20560851761
8038797;11;2.0;2;2;3;11580498996
8034150;15;2.0;2;2;3;51612818184
8041586;16;2.0;2;2;4;98814568209
7993225;12;2.0;2;2;6;36526239069
7986779;7;2.0;2;2;3;5693235659
8047525;7;1.0;2;1;3;15328826623
8006190;12;2.0;2;1;3;30540025728
8037454;16;2.0;2;2;3;13028533476
8046510;9;2.0;2;1;3;15980871874
8002466;16;2.0;2;1;3;11350331555
8024105;12;2.0;2;1;3;1196593372
8024477;17;2.0;2;1;3;23237240583
7989845;16;2.0;2;1;3;75116449226
8053368;17;2.0;2;2;3;10625887569
7993355;16;2.0;2;2;3;49197078377
8032596;15;2.0;2;2;3;28180821809
7992561;17;2.0;2;1;3;30900688863
8011497;7;2.0;2;1;6;10283034125
8084987;12;2.0;2;2;3;32671354535
7997662;13;2.0;2;1;3;20712217188
8037331;17;2.0;2;2;3;22155105891
7995229;11;2.0;2;1;3;73887168719
8008091;17;2.0;2;1;4;37975569029
7982423;15;2.0;2;1;3;38830672508
7983736;7;2.0;2;2;3;61311997895
7996635;10;2.0;2;2;3;67231964839
8015867;17;;2;1;3;22857007349
8021721;8;2.0;2;2;3;30380205565
8025941;8;2.0;2;2;3;14485762878
8010653;14;2.0;2;1;3;23242250324
8023997;12;2.0;2;2;3;1022458053
8028809;6;2.0;2;2;3;54717401444
7993551;12;2.0;2;1;6;97912543019
8044622;14;2.0;2;1;6;69471168504
8041928;14;2.0;2;2;3;16543114575
8044274;13;2.0;2;2;3;25217738659
7999336;15;2.0;2;2;3;36685468369
8083115;15;2.0;2;2;3;24241682579
8039180;10;2.0;2;1;3;57893708645
8047813;17;2.0;2;1;4;85039242739
8010159;17;;2;1;1;80628567854
8025586;7;2.0;2;2;3;3725345159
7994039;10;2.0;2;1;3;6923136778
8027040;11;2.0;2;1;3;5344166305
8043141;13;2.0;2;2;3;62528951878
8075797;9;2.0;2;2;3;21922014594
8036712;8;2.0;2;1;3;10365686739
8030286;16;2.0;2;1;3;18819061878
8028649;17;2.0;2;1;4;45278361775
8042343;13;2.0;2;2;3;56256935806
7985177;17;2.0;2;2;3;48709019101
8052590;16;2.0;2;2;3;89992092529
8005662;6;2.0;2;1;3;18080946447
7989445;13;2.0;2;1;3;66306384738
8034089;6;2.0;2;2;3;90061160068
8082375;15;2.0;2;2;6;49311429897
8024709;14;2.0;2;1;3;74626508465
8051316;7;2.0;2;2;6;29700485557
7985698;9;2.0;2;1;3;17688167316
8046805;13;2.0;2;2;3;77984855661
7986100;10;2.0;2;1;3;14646784733
8027956;10;2.0;2;2;3;79670539141
